Deutsch,Englisch,Kartenart,Kartentyp,Eigenschaft,Typ,Stufe_Rang_Link,ATK,DEF,Anzahl
Fallenstellerin Allomerus,Traptrix Allomerus,Monster,Xyz,Erde,Insekt,4,2200,600,2
Fallgruben-Albtraum der Fallenstellerin,Traptrix Trap Hole Nightmare,Falle,Normale Falle,-,-,-,-,-,3
Wasserloch-Fallgrube,Floodgate Trap Hole,Falle,Normale Falle,-,-,-,-,-,3
Fallenstellerin Arachnocampa,Traptrix Arachnocampa,Monster,Effekt,Erde,Insekt,4,1300,1500,3
Fallenstellerin Pudica,Traptrix Pudica,Monster,Effekt,Erde,Pflanze,4,900,1900,3
Fallenstellerin Mantis,Traptrix Mantis,Monster,Effekt,Erde,Insekt,4,1500,1300,3
Fallgruben-Lutea der Fallenstellerin,Traptrix Holeutea,Falle,Normale Falle,-,-,-,-,-,3
Ausgeglichener Zweikampf,Evenly Matched,Falle,Normale Falle,-,-,-,-,-,6
Verlockender Fallensong,Traptantalizing Tune,Zauber,Normaler Zauber,-,-,-,-,-,3
Fallenstellerin Myrmeleo,Traptrix Myrmeleo,Monster,Effekt,Erde,Insekt,4,1600,1200,3
Schrecklicher Fallgruben-Albtraum,Terrifying Trap Hole Nightmare,Falle,Normale Falle,-,-,-,-,-,1
Fallenstellerin Dionaea,Traptrix Dionaea,Monster,Effekt,Erde,Pflanze,4,1700,1100,2
Raigeki,Raigeki,Zauber,Normaler Zauber,-,-,-,-,-,6
Fallenstellerin Vesiculo,Traptrix Vesiculo,Monster,Effekt,Erde,Pflanze,4,1400,1400,1
Fallgrube des Totengräbers,Gravedigger's Trap Hole,Falle,Normale Falle,-,-,-,-,-,1
Quintettmagier,Quintet Magician,Monster,Fusion,Finsternis,Hexer,12,4500,4500,4
Grabwächters Übernatürlicher,Gravekeeper's Supernaturalist,Monster,Fusion,Finsternis,Hexer,7,2000,2000,3
Tempel im Tal der Toten,Necrovalley Temple,Falle,Permanente Falle,-,-,-,-,-,2
Thron im Tal der Toten,Necrovalley Throne,Zauber,Normaler Zauber,-,-,-,-,-,3
Grabwächters Orakel,Gravekeeper's Oracle,Monster,Effekt,Finsternis,Hexer,10,2000,1500,1
Grabwächters Stele,Gravekeeper's Stele,Zauber,Normaler Zauber,-,-,-,-,-,2
Grabwächters Spion,Gravekeeper's Spy,Monster,Effekt,Finsternis,Hexer,4,1200,2000,3
Verborgene Tempel im Tal der Toten,Hidden Temples of Necrovalley,Zauber,Permanenter Zauber,-,-,-,-,-,1
Topf der Gegensätzlichkeit,Pot of Duality,Zauber,Normaler Zauber,-,-,-,-,-,3
Grabwächters Anwerber,Gravekeeper's Recruiter,Monster,Effekt,Finsternis,Hexer,3,1200,1500,4
Kaiserliche Eisenmauer,Imperial Iron Wall,Falle,Permanente Falle,-,-,-,-,-,1
Grabwächters Abkömmling,Gravekeeper's Descendant,Monster,Effekt,Finsternis,Hexer,4,1500,1200,3
Pharaonengräber im Tal der Toten,Imperial Tombs of Necrovalley,Falle,Konterfalle,-,-,-,-,-,2
Grabwächters Spiritualistin,Gravekeeper's Spiritualist,Monster,Effekt,Finsternis,Hexer,4,1500,1500,3
Grabwächters Kommandant,Gravekeeper's Commandant,Monster,Effekt,Erde,Hexer,4,1600,1500,3
Zeitzerreißender Morganit,Time-Tearing Morganite,Zauber,Normaler Zauber,-,-,-,-,-,3
Grabwächters Oberhaupt,Gravekeeper's Headman,Monster,Effekt,Finsternis,Hexer,3,500,1500,3
Schicksals-Explosion,Blast Held by Destiny,Falle,Normale Falle,-,-,-,-,-,1
Heiligtum des Feuerkönigs,Fire King Sanctuary,Zauber,Permanenter Zauber,-,-,-,-,-,3
Topf des Wohlstands,Pot of Prosperity,Zauber,Normaler Zauber,-,-,-,-,-,2
Schattenpuppe Schisma,Shaddoll Schism,Falle,Permanente Falle,-,-,-,-,-,1
Feuerkönig Hochavatar Kirin,Fire King High Avatar Kirin,Monster,Effekt,Feuer,Ungeheuer,8,2400,200,3
Talent der drei Taktiken,Triple Tactics Talent,Zauber,Normaler Zauber,-,-,-,-,-,4
Nadir-Diener,Nadir Servant,Zauber,Normaler Zauber,-,-,-,-,-,3
Effektverschleierin,Effect Veiler,Monster,Effekt,Licht,Hexer,1,0,0,15
Feuerkönig Avatar Arvata,Fire King Avatar Arvata,Monster,Effekt,Feuer,Ungeheuer-Krieger,4,1800,200,3
Dogmatika Maximus,Dogmatika Maximus,Monster,Effekt,Licht,Hexer,8,1500,3000,4
Legendärer Feuerkönig Ponix,Legendary Fire King Ponix,Monster,Effekt,Feuer,Geflügeltes Ungeheuer,1,500,200,3
Heiliger Feuerkönig Garunix,Sacred Fire King Garunix,Monster,Effekt,Feuer,Geflügeltes Ungeheuer,8,2700,1700,3
Beschwörung,Invocation,Zauber,Normaler Zauber,-,-,-,-,-,3
Ad Libitum von Despia,Ad Libitum of Despia,Monster,Effekt,Finsternis,Fee,8,1500,2000,2
Dramaturg von Despia,Dramaturge of Despia,Monster,Effekt,Finsternis,Fee,8,3000,1500,2
Die Iris-Schwertseele,The Iris Swordsoul,Monster,Effekt,Licht,Hexer,8,2500,2500,1
Mit guter Laune markiert,Branded in High Spirits,Zauber,Schnellzauber,-,-,-,-,-,5
Aluber der Narr von Despia,Aluber the Jester of Despia,Monster,Effekt,Finsternis,Fee,4,1800,0,6
"Flammende Cartesia, die Tugendhafte","Blazing Cartesia, the Virtuous",Monster,Effekt,Licht,Hexer,4,1500,1500,4
Aleister der Beschwörer,Aleister the Invoker,Monster,Effekt,Finsternis,Hexer,4,1000,1800,3
Superpolymerisation,Super Polymerization,Zauber,Schnellzauber,-,-,-,-,-,5
"Despia, Theater der Markierten","Despia, Theater of the Branded",Zauber,Spielfeldzauber,-,-,-,-,-,2
Rot markiert,Branded in Red,Zauber,Schnellzauber,-,-,-,-,-,5
Markierte Fusion,Branded Fusion,Zauber,Normaler Zauber,-,-,-,-,-,6
Markierten-Eröffnung,Branded Opening,Zauber,Schnellzauber,-,-,-,-,-,6
Magische Schmelze,Magical Meltdown,Zauber,Spielfeldzauber,-,-,-,-,-,2
"Dunkles Magier-Mädchen, die Drachenritterin",Dark Magician Girl the Dragon Knight,Monster,Fusion,Finsternis,Drache,7,2600,1700,1
Amulettdrache,Amulet Dragon,Monster,Fusion,Finsternis,Drache,8,2900,2500,1
"Dunkler Magier, der Drachenritter",Dark Magician the Dragon Knight,Monster,Fusion,Finsternis,Drache,8,3000,2500,1
Stab des Magiers,Magician's Rod,Monster,Effekt,Finsternis,Hexer,3,1600,100,3
Illusionsmagie,Illusion Magic,Zauber,Schnellzauber,-,-,-,-,-,2
Magiernavigation,Magician Navigation,Falle,Normale Falle,-,-,-,-,-,3
Magier der dunklen Illusionen,Magician of Dark Illusion,Monster,Effekt,Finsternis,Hexer,7,2100,2500,2
Dunkler magischer Kreis,Dark Magical Circle,Zauber,Permanenter Zauber,-,-,-,-,-,3
Das Auge von Timaeus,The Eye of Timaeus,Zauber,Normaler Zauber,-,-,-,-,-,2
Schwerer Staubsturm,Heavy Storm Duster,Falle,Normale Falle,-,-,-,-,-,2
Auszubildende Illusionsmagierin,Apprentice Illusion Magician,Monster,Effekt,Finsternis,Hexer,6,2000,1700,1
Robe des Magiers,Magician's Robe,Monster,Effekt,Finsternis,Hexer,2,700,2000,3
Ewige Seele,Eternal Soul,Falle,Permanente Falle,-,-,-,-,-,2
Überläufer,Change of Heart,Zauber,Normaler Zauber,-,-,-,-,-,6
Dunkles magisches Erbe,Dark Magic Inheritance,Zauber,Schnellzauber,-,-,-,-,-,1
Zugang zur Finsteren Welt,Gateway to Dark World,Zauber,Schnellzauber,-,-,-,-,-,1
Die Tore der Finsteren Welt,The Gates of Dark World,Zauber,Spielfeldzauber,-,-,-,-,-,1
Ansturm in einer Finsteren Welt,Charge Into a Dark World,Zauber,Normaler Zauber,-,-,-,-,-,1
"Ceruli, Guru der Finsteren Welt","Ceruli, Guru of Dark World",Monster,Effekt,Finsternis,Unterweltler,1,100,300,1
"Lucent, Niederer Herrscher der Finsteren Welt","Lucent, Netherlord of Dark World",Monster,Effekt,Finsternis,Unterweltler,6,2400,0,1
Gefahr! Donnervogel!,Danger! Thunderbird!,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,8,2800,2400,1
"Kahkki, Guerilla der Finsteren Welt","Kahkki, Guerilla of Dark World",Monster,Effekt,Finsternis,Unterweltler,2,300,500,1
Archive der Finsteren Welt,Dark World Archives,Zauber,Permanenter Zauber,-,-,-,-,-,1
"Renge, Torwärter der Finsteren Welt","Renge, Gatekeeper of Dark World",Monster,Normal,Finsternis,Unterweltler,4,100,2100,1
Absoluter König Düsen-Jack,Absolute King Back Jack,Monster,Effekt,Finsternis,Unterweltler,1,0,0,1
Geisteszersetzung,Mind Crush,Falle,Normale Falle,-,-,-,-,-,1
"Broww, Jäger der Finsteren Welt","Broww, Huntsman of Dark World",Monster,Effekt,Finsternis,Unterweltler,3,1400,800,1
"Grapha, Drachenherrscher der Finsteren Welt","Grapha, Dragon Lord of Dark World",Monster,Effekt,Finsternis,Unterweltler,8,2700,1800,2
"Genta, Torhüter der Finsteren Welt","Genta, Gateman of Dark World",Monster,Effekt,Finsternis,Unterweltler,4,1000,1800,1
"Parl, Einsiedler der Finsteren Welt","Parl, Hermit of Dark World",Monster,Effekt,Finsternis,Unterweltler,1,300,100,1
"Reign-Beaux, Oberherr der Finsteren Welt","Reign-Beaux, Overlord of Dark World",Monster,Effekt,Finsternis,Unterweltler,7,2500,1800,1
Geschäfte mit der Finsteren Welt,Dark World Dealings,Zauber,Normaler Zauber,-,-,-,-,-,1
"Zure, Ritter der Finsteren Welt","Zure, Knight of Dark World",Monster,Normal,Finsternis,Unterweltler,4,1800,1500,1
"Snoww, Unlicht der Finsteren Welt","Snoww, Unlight of Dark World",Monster,Effekt,Finsternis,Unterweltler,4,1700,0,1
Blitzgewitter der Finsteren Welt,Dark World Lightning,Zauber,Normaler Zauber,-,-,-,-,-,1
Ins Grab hinabziehen ,Dragged Down into the Grave,Zauber,Normaler Zauber,-,-,-,-,-,1
Kräfte rauben ,Skill Drain,Falle,Permanente Falle,-,-,-,-,-,1
"Gren, Taktiker der Finsteren Welt","Gren, Tactician of Dark World",Monster,Effekt,Finsternis,Unterweltler,2,300,500,1
Bestrafung der Finsteren Welt,Dark World Punishment,Falle,Konterfalle,-,-,-,-,-,1
Die Kräfte der Finsternis,The Forces of Darkness,Falle,Normale Falle,-,-,-,-,-,1
Amtsantritt der Finsteren Welt,Dark World Accession,Zauber,Schnellzauber,-,-,-,-,-,1
Puppenspielerei der Finsteren Welt,Dark World Puppetry,Zauber,Schnellzauber,-,-,-,-,-,1
Gefahr!? Tsuchinoko?,Danger!? Tsuchinoko?,Monster,Effekt,Finsternis,Reptil,3,1300,0,1
Deckverwüstungsvirus ,Deck Devastation Virus,Falle,Normale Falle,-,-,-,-,-,1
"Lilith, Dame der Wehklage","Lilith, Lady of Lament",Monster,Effekt,Finsternis,Unterweltler,3,2000,0,1
Sagenhafter Rabe ,Fabled Raven,Monster,Effekt,Licht,Unterweltler,2,1300,1000,1
"Sillva, Kriegsfürst der Finsteren Welt","Sillva, Warlord of Dark World",Monster,Effekt,Finsternis,Unterweltler,5,2300,1400,1
"Reign-Beaux, Oberkönig der Finsteren Welt","Reign-Beaux, Overking of Dark World",Monster,Effekt,Finsternis,Unterweltler,8,3000,1800,1
Dunkler Nebel ,Dark Smog,Falle,Permanente Falle,-,-,-,-,-,1
Gehirnwäsche der Finsteren Welt ,Dark World Brainwashing,Falle,Permanente Falle,-,-,-,-,-,1
"Latinum, Exarch der Finsteren Welt","Latinum, Exarch of Dark World",Monster,Effekt,Finsternis,Unterweltler,6,1500,2400,1
"Goldd, Wu-Fürst der Finsteren Welt ","Goldd, Wu-Lord of Dark World",Monster,Effekt,Finsternis,Unterweltler,5,2300,1400,1
Der Zombievampir ,The Zombie Vampire,Monster,Xyz,Finsternis,Zombie,8,3000,2800,4
Vampirsaugerin ,Vampire Sucker,Monster,Link,Finsternis,Zombie,2,1600,-,2
Vampirfasziniererin ,Vampire Fascinator,Monster,Link,Finsternis,Zombie,3,2400,-,2
"Yuki-Onna, die Absoluter-Nullpunkt-Mayakashi ","Yuki-Onna, the Absolute Zero Mayakashi",Monster,Link,Wasser,Zombie,4,2900,-,1
Vampirgeist ,Vampire Ghost,Monster,Effekt,Finsternis,Zombie,3,1500,0,3
Vampirherrschaft ,Vampire Domination,Falle,Konterfalle,-,-,-,-,-,3
Vampir Voivode ,Vampire Voivode,Monster,Effekt,Finsternis,Zombie,8,2800,2100,1
Vampirgrazie ,Vampire Grace,Monster,Effekt,Finsternis,Zombie,6,2000,1200,1
Vampirvertrauter ,Vampire Familiar,Monster,Effekt,Finsternis,Zombie,1,500,0,3
Vampirbewahrer ,Vampire Retainer,Monster,Effekt,Finsternis,Zombie,2,1200,0,3
Zombie des Gleichklangs,Uni-Zombie,Monster,Effekt,Finsternis,Zombie,3,1300,0,3
Vampir-Königreich,Vampire Kingdom,Zauber,Spielfeldzauber,-,-,-,-,-,2
Vampirverlangen ,Vampire's Desire,Zauber,Normaler Zauber,-,-,-,-,-,2
Spiegel des Drachen ,Dragon's Mirror,Zauber,Normaler Zauber,-,-,-,-,-,1
Vampirfräulein ,Vampire Fraulein,Monster,Effekt,Finsternis,Zombie,5,600,2000,2
Vampirgraf ,Vampire Duke,Monster,Effekt,Finsternis,Zombie,5,2000,0,1
Buch des Lebens,Book of Life,Zauber,Normaler Zauber,-,-,-,-,-,3
Vampirverführerin,Vampire Vamp,Monster,Effekt,Finsternis,Zombie,7,2000,2000,1
Vampir-Genesis ,Vampire Genesis,Monster,Effekt,Finsternis,Zombie,8,3000,2100,1
Kyonshee-Meister ,Master Kyonshee,Monster,Normal,Erde,Zombie,4,1750,1000,1
Pyramidenschildkröte,Pyramid Turtle,Monster,Effekt,Erde,Zombie,4,1200,1400,3
Seelenschnitter,Spirit Reaper,Monster,Effekt,Finsternis,Zombie,3,300,200,2
Verzweiflung aus der Finsternis ,Despair from the Dark,Monster,Effekt,Finsternis,Zombie,8,2800,3000,2
Ryu Kokki ,Ryu Kokki ,Monster,Effekt,Finsternis,Zombie,6,2400,2000,2
Vampirlady,Vampire Lady,Monster,Effekt,Finsternis,Zombie,4,1550,1550,1
Doppelter Coston ,Double Coston,Monster,Effekt,Finsternis,Zombie,4,1700,1650,1
Schnappstahl,Snatch Steal,Zauber,Ausrüstungszauber,-,-,-,-,-,4
Riesen-Trunade,Giant Trunade,Zauber,Normaler Zauber,-,-,-,-,-,1
Adliger der Auslöschung,Nobleman of Crossout,Zauber,Normaler Zauber,-,-,-,-,-,2
Karte der sicheren Wiederkehr ,Card of Safe Return,Zauber,Permanenter Zauber,-,-,-,-,-,1
Schwerer Sturm,Heavy Storm,Zauber,Normaler Zauber,-,-,-,-,-,3
Kreaturentausch,Creature Swap,Zauber,Normaler Zauber,-,-,-,-,-,2
Ruf der Mumie,Call of the Mummy,Zauber,Permanenter Zauber,-,-,-,-,-,3
Nachladen,Reload,Zauber,Schnellzauber,-,-,-,-,-,4
Staubtornado,Dust Tornado,Falle,Normale Falle,-,-,-,-,-,4
Magische Störung,Magic Jammer,Falle,Konterfalle,-,-,-,-,-,2
Tollkühne Gier,Reckless Greed,Falle,Normale Falle,-,-,-,-,-,3
Endlose Verwesung ,Endless Decay,Monster,Effekt,Finsternis,Zombie,5,?,?,2
Tutan-Maske ,Tutan Mask,Falle,Konterfalle,-,-,-,-,-,1
Dunkler Sarg,Dark Coffin,Falle,Normale Falle,-,-,-,-,-,1
Silpheed,Silpheed,Monster,Effekt,Wind,Fee,4,1700,700,1
Ninjitsu-Kunst der Verwandlung ,Ninjitsu Art of Transformation,Falle,Permanente Falle,-,-,-,-,-,1
Schallraser,Sonic Shooter,Monster,Effekt,Wind,Geflügeltes Ungeheuer,4,1300,600,1
Harpyien-Mädchen,Harpie Girl,Monster,Normal,Wind,Geflügeltes Ungeheuer,2,500,500,1
Vornehmer Egotist,Elegant Egotist,Zauber,Normaler Zauber,-,-,-,-,-,5
Ekstatisches Funkendreieck,Triangle Ecstasy Spark,Zauber,Normaler Zauber,-,-,-,-,-,1
"Simorgh, Vogel der Göttlichkeit ","Simorgh, Bird of Divinity",Monster,Effekt,Wind,Geflügeltes Ungeheuer,7,2700,1000,1
Fliegender Kamakiri #1,Flying Kamakiri #1,Monster,Effekt,Wind,Insekt,4,1400,900,2
Vogelkopf ,Birdface,Monster,Effekt,Wind,Geflügeltes Ungeheuer,4,1600,1600,1
Jagdgründe der Harpyien,Harpies' Hunting Ground,Zauber,Spielfeldzauber,-,-,-,-,-,3
Schneller Vogelmann Joe,Swift Birdman Joe,Monster,Effekt,Wind,Geflügeltes Ungeheuer,6,2300,1400,1
Schall-Ente ,Sonic Duck,Monster,Normal,Wind,Geflügeltes Ungeheuer,3,1700,700,1
Schieferkrieger,Slate Warrior,Monster,Effekt,Wind,Unterweltler,4,1900,400,1
Harpyien-Schwestern ,Harpie Lady Sisters,Monster,Effekt,Wind,Geflügeltes Ungeheuer,6,1950,2100,2
Harpyie 3,Harpie Lady 3,Monster,Effekt,Wind,Geflügeltes Ungeheuer,4,1300,1400,1
Harpyie 2,Harpie Lady 2,Monster,Effekt,Wind,Geflügeltes Ungeheuer,4,1300,1400,1
Icarus-Angriff,Icarus Attack,Falle,Normale Falle,-,-,-,-,-,2
Wasserchor ,Aqua Chorus,Falle,Permanente Falle,-,-,-,-,-,1
Babyspieldrache der Harpyien ,Harpie's Pet Baby Dragon,Monster,Effekt,Wind,Drache,4,1200,600,1
Ninjalady Yae,Lady Ninja Yae,Monster,Effekt,Wind,Krieger,3,1100,200,1
Harpyie 1,Harpie Lady 1,Monster,Effekt,Wind,Geflügeltes Ungeheuer,4,1300,1400,1
Hysterische Party,Hysteric Party,Falle,Permanente Falle,-,-,-,-,-,1
Phantom Märtyrer-Spielmarke,Phantasmal Martyr Token,Monster,Spielmarke,Finsternis,Unterweltler,1,0,0,1
Phantom-Spielmarke,Phantasm Token,Monster,Spielmarke,Finsternis,Unterweltler,1,0,0,1
Armityle das Chaosphantasma,Armityle the Chaos Phantasm,Monster,Fusion,Finsternis,Unterweltler,12,0,0,1
Phantasmakaiser Trilojig ,Phantasm Emperor Trilojig,Monster,Fusion,Finsternis,Unterweltler,10,4000,4000,1
Stygianische Straßenpatrouille ,Stygian Street Patrol,Monster,Effekt,Finsternis,Unterweltler,4,1600,1200,1
Verlorenes Paradies ,Fallen Paradise,Zauber,Spielfeldzauber,-,-,-,-,-,1
Chaoskern,Chaos Core,Monster,Effekt,Finsternis,Unterweltler,3,0,0,1
Dunkelheitsbeschwörender Herrscher ,Dark Summoning Beast,Monster,Effekt,Finsternis,Unterweltler,5,0,0,1
"Farfa, Grimmetatze des Brennenden Abgrunds ","Farfa, Malebranche of the Burning Abyss",Monster,Effekt,Finsternis,Unterweltler,3,1000,1900,1
Öffnung der Geistertore,Opening of the Spirit Gates,Zauber,Permanenter Zauber,-,-,-,-,-,1
Phantom Märtyrer ,Phantasmal Martyrs,Zauber,Normaler Zauber,-,-,-,-,-,1
Grabwinder ,Grave Squirmer,Monster,Effekt,Finsternis,Unterweltler,1,0,0,1
Regenbogenfinsternisdrache ,Rainbow Dark Dragon,Monster,Effekt,Finsternis,Drache,10,4000,0,1
Erwachen der heiligen Ungeheuer ,Awakening of the Sacred Beasts,Falle,Permanente Falle,-,-,-,-,-,1
Der sagenhafte Zerburrel ,The Fabled Cerburrel,Monster,Effekt,Licht,Ungeheuer,2,1000,400,1
Blaues Himmelsfeuer,Cerulean Skyfire,Zauber,Permanenter Zauber,-,-,-,-,-,1
Dimensionsfusionenzerstörung,Dimension Fusion Destruction,Zauber,Normaler Zauber,-,-,-,-,-,1
Fehler,Mistake,Falle,Permanente Falle,-,-,-,-,-,1
Phantom-Himmelssprenger,Phantom Skyblaster,Monster,Effekt,Finsternis,Unterweltler,4,1100,800,2
Hügel des gebundenen Schöpfers ,Mound of the Bound Creator,Zauber,Spielfeldzauber,-,-,-,-,-,1
Setzrotation,Set Rotation,Zauber,Schnellzauber,-,-,-,-,-,1
Der Anfang vom Ende,The Beginning of the End,Zauber,Normaler Zauber,-,-,-,-,-,1
Kaiserlicher Brauch,Imperial Custom,Falle,Permanente Falle,-,-,-,-,-,1
Puppenspieler ,Puppet Master,Monster,Effekt,Finsternis,Unterweltler,6,0,0,1
Chaosjägerin,Chaos Hunter,Monster,Effekt,Finsternis,Unterweltler,7,2500,1600,2
Zauberchronik,Spell Chronicle,Zauber,Permanenter Zauber,-,-,-,-,-,1
Finsteres lockendes Ungeheuer ,Dark Beckoning Beast,Monster,Effekt,Finsternis,Unterweltler,2,0,0,2
"Raviel, Herr der Phantome","Raviel, Lord of Phantasms",Monster,Effekt,Finsternis,Unterweltler,10,4000,4000,1
"Raviel, Herr der Phantome - Schimmernder Kratzer ","Raviel, Lord of Phantasms - Shimmering Scraper",Monster,Effekt,Finsternis,Unterweltler,10,4000,4000,1
Gestaltwandlerin ,Shapesister,Falle,Permanente Falle,-,-,-,-,-,1
"Hamon, Herr des tosenden Donners","Hamon, Lord of Striking Thunder",Monster,Effekt,Licht,Donner,10,4000,4000,1
Verrückter Nachlader ,Mad Reloader,Monster,Effekt,Finsternis,Unterweltler,1,0,0,1
Dunkle Fabrik der Überproduktion,Dark Factory of More Production,Falle,Permanente Falle,-,-,-,-,-,1
Siegel des Besitzes ,Owner's Seal,Zauber,Normaler Zauber,-,-,-,-,-,1
Chaos beschwörendes Ungeheuer ,Chaos Summoning Beast,Monster,Effekt,Finsternis,Unterweltler,1,0,0,1
Phantom des Chaos,Phantom of Chaos,Monster,Effekt,Finsternis,Unterweltler,4,0,0,1
Verbergende Schwerter,Swords of Concealing Light,Zauber,Permanenter Zauber,-,-,-,-,-,3
Feld-Barriere,Field Barrier,Zauber,Permanenter Zauber,-,-,-,-,-,1
Flucht aus der finsteren Dimension,Escape from the Dark Dimension,Falle,Permanente Falle,-,-,-,-,-,1
Tragödia ,Tragoedia,Monster,Effekt,Finsternis,Unterweltler,10,?,?,4
Hyperlohe,Hyper Blaze,Falle,Permanente Falle,-,-,-,-,-,1
Topf der Trägheit ,Pot of Avarice,Zauber,Normaler Zauber,-,-,-,-,-,2
Takt-Wyvern ,Clock Wyvern,Monster,Effekt,Wind,Cyberse,4,1800,1000,1
Caligo-Krallenkrähe,Caligo Claw Crow,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,2,900,600,2
Seelenkreuzung ,Soul Crossing,Zauber,Schnellzauber,-,-,-,-,-,2
"Ahrima, boshafter Aufseher ","Ahrima, the Wicked Warden",Monster,Effekt,Finsternis,Unterweltler,4,1700,0,3
Ungeheuerkönig Barbaros ,Beast King Barbaros,Monster,Effekt,Erde,Ungeheuer-Krieger,8,3000,1200,1
Die goldenen Äpfel,The Golden Apples,Falle,Normale Falle,-,-,-,-,-,1
"Brecher, Dunkler Magischer Krieger",Breaker the Dark Magical Warrior,Monster,Effekt,Finsternis,Hexer,6,1600,1000,1
Tenyi-Geist - Vishuda,Tenyi Spirit - Vishuda,Monster,Effekt,Finsternis,Wyrm,7,1500,2500,1
Neunschwänziger Fuchs,Nine-Tailed Fox,Monster,Effekt,Feuer,Zombie,6,2200,2000,1
Metallisch reflektierender Schleim ,Metal Reflect Slime,Falle,Permanente Falle,-,-,-,-,-,1
Donnerschlagskraft-Angriff,Thunderforce Attack,Zauber,Schnellzauber,-,-,-,-,-,1
Einmal-Passcode ,One-Time Passcode,Zauber,Normaler Zauber,-,-,-,-,-,1
Kartenwache,Card Guard,Monster,Effekt,Finsternis,Unterweltler,4,1600,500,1
"Brecher, Magischer Krieger",Breaker the Magical Warrior,Monster,Effekt,Finsternis,Hexer,4,1600,1000,1
Kartenverbesserung ,Card Advance,Zauber,Normaler Zauber,-,-,-,-,-,1
Der richtige Name,The True Name,Zauber,Normaler Zauber,-,-,-,-,-,1
Ultimatives Götterungeheuer ,Ultimate Divine-Beast,Falle,Permanente Falle,-,-,-,-,-,1
Buch des Mondes,Book of Moon,Zauber,Schnellzauber,-,-,-,-,-,2
Marsch der Monarchen,March of the Monarchs,Zauber,Permanenter Zauber,-,-,-,-,-,1
Nachschubtrupp,Supply Squad,Zauber,Permanenter Zauber,-,-,-,-,-,2
Millenniumssucher,Millennium Seeker,Monster,Effekt,Finsternis,Hexer,4,1000,1000,1
Verhängnisvolles Ziehen,Draw of Fate,Zauber,Normaler Zauber,-,-,-,-,-,1
Tellus der kleine Engel ,Tellus the Little Angel,Monster,Effekt,Licht,Fee,3,500,500,1
"Herzog Shade, der sündhafte Schattenherr","Duke Shade, the Sinister Shadow Lord",Monster,Effekt,Finsternis,Unterweltler,4,500,2000,1
Reaktorschleim,Reactor Slime,Monster,Effekt,Wasser,Aqua,4,500,500,1
Höhle der Finsternis,Lair of Darkness,Zauber,Spielfeldzauber,-,-,-,-,-,1
Sündengeist,Scapeghost,Monster,Effekt,Finsternis,Zombie,1,0,0,1
"Basu, der Seelenfresser ",Bazoo the Soul-Eater,Monster,Effekt,Erde,Ungeheuer,4,1600,900,1
Ras Schüler,Ra's Disciple,Monster,Effekt,Licht,Fee,4,1100,600,6
Engel O1 ,Angel O1,Monster,Effekt,Licht,Fee,1,200,300,1
Superflinker Megahamster,Super-Nimble Mega Hamster,Monster,Effekt,Erde,Ungeheuer,4,1100,1800,1
Göttliche Evolution,Divine Evolution,Zauber,Normaler Zauber,-,-,-,-,-,1
Doppelbeschwörung,Double Summon,Zauber,Normaler Zauber,-,-,-,-,-,2
Sturmkraft der Monarchen,The Monarchs Stormforth,Zauber,Schnellzauber,-,-,-,-,-,1
Verbotenes Kleid,Forbidden Dress,Zauber,Schnellzauber,-,-,-,-,-,1
Übelschar-Mandragora,Evilswarm Mandragora,Monster,Effekt,Finsternis,Pflanze,4,1550,1450,1
Flinker Biber,Nimble Beaver,Monster,Effekt,Wasser,Ungeheuer,2,400,100,1
Photonen-Säbelzahntiger ,Photon Sabre Tiger,Monster,Effekt,Licht,Ungeheuer,3,2000,300,2
Hartgesottener bewaffneter Drache,Hardened Armed Dragon,Monster,Effekt,Erde,Drache,4,1500,800,1
"Gizmek Makami, die wilde Reißzahnfestung","Gizmek Makami, the Ferocious Fanged Fortress",Monster,Effekt,Wind,Maschine,6,2150,2150,1
Stufen-Widerstandsmauer,Level Resist Wall,Falle,Normale Falle,-,-,-,-,-,1
Ertränkende Spiegelkraft ,Drowning Mirror Force,Falle,Normale Falle,-,-,-,-,-,1
Faust des Schicksals,Fist of Fate,Zauber,Schnellzauber,-,-,-,-,-,1
"Gizmek Uka, der festliche Fuchs der Fruchtbarkeit ","Gizmek Uka, the Festive Fox of Fecundity",Monster,Effekt,Erde,Maschine,7,2250,2250,1
Mare Mare,Mare Mare,Monster,Effekt,Wasser,Wyrm,7,2100,1400,1
Demaskierter Drache,Unmasked Dragon,Monster,Effekt,Feuer,Wyrm,3,1400,1100,1
Übelschar-Salamandra,Evilswarm Salamandra,Monster,Effekt,Finsternis,Dinosaurier,4,1850,950,2
Flinker Momonga,Nimble Momonga,Monster,Effekt,Erde,Ungeheuer,2,1000,100,3
Verbotene Lanze,Forbidden Lance,Zauber,Schnellzauber,-,-,-,-,-,1
Verbotener Kelch,Forbidden Chalice,Zauber,Schnellzauber,-,-,-,-,-,2
Klonen,Cloning,Falle,Normale Falle,-,-,-,-,-,1
Dimensionskapsel,Different Dimension Capsule,Zauber,Normaler Zauber,-,-,-,-,-,1
Verfluchte Hexe,Condemned Witch,Monster,Effekt,Finsternis,Fee,4,100,2000,1
